Business Function,Data Element,Source System/Module,Source DB Table,Source Field(s),Calculation/Transformation Logic,Consuming Screens/APIs,System Owner,Validation Method,Last Verified Date,Notes/Risks
Wallet & Balance,Banking initiation (Stitch),Banking module,(in-flight),bank_account_id; intent_id,api/banking/initiate creates link intent; api/banking/status polls; api/banking/capture commits,BankLinkPage.jsx,Engineering,Stitch sandbox,2026-05-24,Used for direct EFT vs manual reference EFT
Investment - Strategies,Strategy catalog,Strategies module,strategies_c,id; name; risk_level; holdings (JSONB); min_investment,Curated portfolios with basket holdings (symbol + quantity/weight),OpenStrategiesPage.jsx; FactsheetPage.jsx,Product,Manual QA on new strategy add,2026-05-24,holdings is JSONB; weight is allocation share when quantity absent
Investment - Strategies,Strategy purchase (record),Record-Investment module,stock_holdings_c; transactions; user_strategies,strategy_id; security_id; quantity; avg_fill (null=pending); created_at; family_member_id,Always inserts NEW row per purchase (no upsert); avg_fill null until broker fill; user_strategies tracks invested_amount,api/record-investment.js; InvestAmountPage.jsx; PaymentPage.jsx,Engineering,Vitest (record-investment.test.js); manual QA,2026-05-24,Test currently fails due to strategies vs strategies_c mock typo (pre-existing)
Investment - Strategies,Strategy purchase batches,HomePage module,stock_holdings_c,strategy_id; created_at,Groups raw rows by strategy_id + created_at minute; each group = one batch; stacked card UI when batches.length > 1,HomePage.jsx (purchaseBatchesByStrategy),Engineering,Manual UI QA on stack card,2026-05-24,Same-minute purchases collapse; rare race if user double-taps within 60s
Investment - Strategies,Strategy current value/PnL,Investment Calc module,stock_holdings_c; securities_c,quantity * last_price - quantity * avg_fill,Per-batch value = strategy.currentValue * (batchInvested / totalInvested); per-batch PnL derived,HomePage.jsx StrategyStackedModal,Engineering,Spot-check vs broker statement,2026-05-24,Pending batches contribute 0 because avg_fill is null
Investment - Strategies,Strategy subscription R29/month,Subscriptions module,subscriptions,user_id; plan; amount; current_period_end,Auto-created when user invests in 2nd+ strategy; current_period_end set to same calendar day next month,api/record-investment.js; ManageSubscriptionsPage.jsx,Product,Manual QA on multi-strategy users,2026-05-24,Subscription only charged on 2nd+ strategy; first strategy is free
Investment - Direct Stocks,Stock catalog,Securities module,securities_c,id; symbol; name; last_price; logo_url; sector,Central security master; price updated by external feeds,MarketsPage.jsx; FactsheetPage.jsx; StockDetailPage.jsx,Data Ops,Daily ingest job,2026-05-24,last_price in rands; avg_fill in cents (be careful with units)
Investment - Direct Stocks,Direct stock purchase (record),Record-Investment module,stock_holdings_c; transactions,security_id; quantity; avg_fill (null=pending); created_at,Always inserts NEW row per purchase (no upsert); each buy is a discrete position with own avg_fill,api/record-investment.js; StockBuyPage.jsx,Engineering,Manual QA on repeat buys,2026-05-24,Changed in 2026-05-22 commit; mirrors strategy pattern
Investment - Direct Stocks,Stock purchase batches,HomePage module,stock_holdings_c,security_id; created_at,Groups raw rows by security_id (per logical position); each row = one batch in StockStackedModal,HomePage.jsx fetchBestAssets; useFinancialData aggregateHoldings,Engineering,Manual UI QA on stack card,2026-05-24,Aggregation in hook layer for backward-compat with .find consumers
Investment - Direct Stocks,Direct stock current value/PnL,Investment Calc module,stock_holdings_c; securities_c,filledQty * last_price; - filledQty * avg_fill,Aggregate uses filled-only quantity so live_price * quantity remains correct portfolio value; pending qty kept separately,HomePage.jsx best-assets carousel; NewPortfolioPage.jsx,Engineering,Spot-check vs broker,2026-05-24,Pending rows have last_price=0 in API contract; do not change without auditing liveVal callers
Holdings & Portfolio,Aggregated holdings list,useFinancialData hook,stock_holdings_c (via /api/user/holdings),security_id; strategy_id; family_member_id (group key),Raw rows collapsed by (security_id; strategy_id; family_member_id); batches array preserved on each aggregated row,useFinancialData; useInvestments; NewPortfolioPage; HomePage,Engineering,Build pass + manual QA,2026-05-24,Filters family_member_id IS NULL at API; child holdings never reach this view
Holdings & Portfolio,Portfolio total value,useFinancialData hook,stock_holdings_c,last_price * quantity (filled-only),Sum across aggregated holdings; pending rows contribute 0 (last_price=0 by API contract),HomePage.jsx; NewPortfolioPage.jsx; MintBalancePage.jsx,Engineering,Daily reconciliation,2026-05-24,Aggregation quantity is filled-only to keep live_price * quantity correct
Holdings & Portfolio,Best performing assets,HomePage module,stock_holdings_c (direct stocks only),pnlRands; pnlPct (computed),Filters !strategy_id; sorts by pnlPct desc; slices top 5; stacked card UI when batches > 1,HomePage.jsx fetchBestAssets,Product,Manual UI review,2026-05-24,Falls back to strategy-component ranking if no direct holdings
Holdings & Portfolio,Best performing strategies,User-Strategies module,stock_holdings_c; strategies_c (via /api/user/strategies),investedAmount; currentMarketValue; change_pct,Server computes investedAmount from holdings + transactions; currentValue from live prices; sorted by change_pct desc,HomePage.jsx Best Performing Strategies section,Engineering,Manual QA on portfolio refresh,2026-05-24,Filters family_member_id IS NULL; child strategies excluded
Holdings & Portfolio,Goal linking,useInvestments hook,investment_goals; stock_holdings_c,linked_security_id; linked_strategy_id; current_amount; target_amount,.find on aggregated holdings; PnL ratio applied to invested amount,HomePage.jsx Goals; NewPortfolioPage.jsx,Product,Manual QA on goal progress,2026-05-24,After aggregation; .find returns correct aggregated row (was a risk before aggregation)
Family & Children,Family member roster,Family module,family_members,id; primary_user_id; first_name; relationship; linked_user_id,Parent-owned record per child/spouse; child relationship enables wallet + investing,FamilyDashboardPage.jsx; api/family-members.js,Engineering,Manual QA on add-child flow,2026-05-24,Spouse access controlled by view/manage toggles (Family update on 2026-04 commit)
Family & Children,Child wallet,Family module,family_members,available_balance,Funded by parent transfers; deducted on child investments; held in cents,ChildDashboardPage.jsx; api/child-wallet.js,Ops,Manual reconciliation,2026-05-24,Stored on family_members (not separate wallets row)
Family & Children,Child strategy investment,Child-Invest module,stock_holdings_c; transactions; family_members,user_id=parent; family_member_id=child; strategy_id,Always inserts NEW row per child buy; deducts from child available_balance with rollback on failure,api/child-invest.js; ChildDashboardPage.jsx,Engineering,Manual QA on rollback path,2026-05-24,Rollback restores child balance if holdings insert fails
Family & Children,Child holdings view,Child Dashboard module,stock_holdings_c (filtered by family_member_id),security_id; strategy_id; quantity; avg_fill; created_at,Queried with explicit family_member_id; rendered with stacked-card UI matching parent pattern,ChildDashboardPage.jsx,Engineering,Manual QA on child portfolio view,2026-05-24,Parent's main views EXCLUDE these (family_member_id IS NULL filter)
Family & Children,Parent activity isolation,Transactions module,transactions,user_id; family_member_id,Parent endpoint filters family_member_id IS NULL so child-scoped txs never appear in parent's activity; child txs surface only via ChildDashboard direct Supabase query (eq family_member_id),api/user/transactions.js; HomePage TransactionHistorySection,Engineering,Manual QA after 2026-05-24 fix,2026-05-24,Fixed 2026-05-24 — prior to that parent activity leaked child strategy investment rows
Gifting,Send gift (v2),Gift-Create module,gift_claims,sender_user_id; amount; asset_type; strategy_id; security_id; token; expires_at,Creates pending_claim record with random token + 14-day expiry; debits sender wallet,SentGiftsPageV2.jsx; api/gift/create-v2.js,Product,Manual QA on full happy-path,2026-05-24,V2 supersedes v1; v1 kept for backward-compat with old links
Gifting,Gift OTP verification,Gift module,(in-memory store + email),otp_code; expires_at,6-digit code emailed via Resend; expires in 10 minutes; stored in process memory,api/gift/request-otp.js; api/gift/verify-code.js,Engineering,Manual QA,2026-05-24,In-memory OTP store does NOT survive server restart; fine for single-instance Vercel functions
Gifting,Claim gift (v2),Gift-Claim module,gift_claims; stock_holdings_c; transactions,token; id_number; recipient_user_id; claimed_at,Validates ID match + KYC + mint_number; allocates stock or strategy holdings (always-insert); marks gift claimed,GiftPreviewPage.jsx; api/gift/claim-v2.js,Engineering,Manual QA on KYC-gated path,2026-05-24,V2 requires SA ID match against claimant profile
Gifting,Claim gift (v1 legacy),Gift-Claim module,gift_claims; stock_holdings_c,token,Token-only validation; allocates at current price as filled; emails sender,GiftClaimPage.jsx; api/gift/claim.js,Engineering,Manual QA on legacy deep-links,2026-05-24,Retained for old shared links; new flow uses v2
Gifting,Self-claim expired gift,Gift module (server),gift_claims; stock_holdings_c; wallets,sender_user_id matches; gift status expired/cancelled,Sender can add their expired gift back to own portfolio after deducting wallet; only via server/index.cjs (no /api/ counterpart yet),server/index.cjs (claim-to-self); SentGiftsPageV2.jsx,Engineering,Manual QA,2026-05-24,RISK: no /api/gift/claim-to-self.js production endpoint; dev-only currently
Gifting,Cancel / extend / expire gifts,Gift module,gift_claims,status; expires_at,Cancel returns funds to sender; extend adds days; expire is cron-driven,api/gift/cancel.js; api/gift/extend.js; api/gift/expire.js,Ops,Cron-job dashboard,2026-05-24,expire.js intended to be called by scheduled job
Credit,Credit check,Credit-Check module,credit_accounts; external bureau (Experian),id_number,Fetches bureau score; persists snapshot; rate-limited per user,api/credit-check/index.js; CreditScorePage.jsx,Credit Risk,Bureau sandbox + manual QA,2026-05-24,External call cached for 30 days to avoid bureau cost
Credit,Credit application,Credit-Apply module,credit_applications,user_id; requested_amount; status,Application captured; routed to ops for manual underwriting MVP,CreditApplyPage.jsx; UnsecuredCreditDashboard.jsx,Credit Risk / Product,Manual ops queue review,2026-05-24,No auto-decisioning in MVP
Credit,Instant liquidity loan,Credit module,credit_loans,principal; outstanding_balance; status,Approved borrow against portfolio collateral; deducts collateral lock,InstantLiquidity.jsx; ActiveLiquidity.jsx; api/credit-check,Credit Risk,Manual QA on draw + repay,2026-05-24,Collateral linked to non-strategy holdings only currently
Credit,Loan repayment,Credit module,credit_loans; wallets,outstanding_balance; balance,Wallet debit + outstanding decrement; supports partial + full,RepayLiquidity.jsx; CreditRepayPage.jsx,Credit Risk,Manual QA on early payoff,2026-05-24,No autopay; user-initiated
Transactions & Activity,Transaction history,Transactions module,transactions,user_id; transaction_date; direction; amount; name; description,Returned newest-first filtered to family_member_id IS NULL; enriched server-side with strategy/security metadata for icons,api/user/transactions.js; ActivityPage.jsx; HomePage TransactionHistorySection,Engineering,Daily reconciliation script,2026-05-24,Parent-only view; child txs handled by ChildDashboardPage with explicit family_member_id query
Transactions & Activity,Activity child page,Activity module,transactions (family_member_id != null),transaction_date; name; amount; family_member_id,Filter tabs + date sections + stacked duplicate cards (commit c11b4fe),ActivityPage.jsx (child variant); ChildDashboardPage.jsx,Engineering,Manual UI QA,2026-05-24,Stacks duplicate strategy buys grouped by minute; mirrors HomePage pattern
Transactions & Activity,Statements export,Statements module,transactions; stock_holdings_c,date range; user_id,Generates jsPDF/jspdf-autotable monthly statement; backfills market_value snapshot,StatementsPage.jsx,Product,Manual QA on PDF rendering,2026-05-24,Includes year-to-date holdings snapshot
Transactions & Activity,Order confirmation email,Order-Email module,order_emails,user_id; asset_name; amount_cents; confirmation_status,Resend send; logged with confirmation_status (sent/failed/skipped),api/record-investment.js; api/confirm-eft-deposit.js,Ops,Resend dashboard,2026-05-24,Failure non-fatal to investment; logged for retry
Notifications,In-app notifications,Notifications module,notifications,user_id; title; body; type; payload (JSONB),Inserted on key events (gift claimed; investment filled); read via NotificationsPage,NotificationsPage.jsx; api/gift/claim-v2.js,Product,Manual QA on bell-icon flow,2026-05-24,Realtime updates via Supabase channel subscription
Notifications,Notification settings,Settings module,user_notification_preferences,user_id; email_enabled; push_enabled,Per-channel opt-outs; respected by Resend send + push triggers,NotificationSettingsPage.jsx,Product,Manual QA,2026-05-24,Push currently iOS-only via Capacitor
Markets & Insights,Securities listing,Markets module,securities_c,symbol; name; last_price; change_percent; sector,Filterable + searchable list; live prices via realtime channel,MarketsPage.jsx,Product,Manual UI QA,2026-05-24,Ranked by sector + change for default sort
Markets & Insights,Stock factsheet,Factsheet module,securities_c; stock_returns_c,symbol; current_price; historical returns,Per-period returns + key stats; chart from stock_returns_c,FactsheetPage.jsx,Product,Manual QA,2026-05-24,Used as deep-link target from MarketsPage
Markets & Insights,News articles,News module,News_articles,id; title; source; published_at; body_text,Latest 3 on Home; full list via news page; opens NewsArticlePage,HomePage.jsx Market Insights; NewsArticlePage.jsx,Editorial,Editor publishes via Supabase Studio,2026-05-24,No CMS; direct DB inserts
Realtime,Live price updates,Realtime module,securities_c (UPDATE) + stock_returns_c (INSERT) + stock_holdings_c (UPDATE),last_price; change_price; change_percent,Singleton Supabase channel subscription; teardown delayed 2s to survive route transitions,useRealtimePrices.js; HomePage; MarketsPage,Engineering,Connection status surfaced in UI,2026-05-24,Single channel shared across listeners; subscriber count tracked
Settlement & Operations,Settlement status,Settlement module,stock_holdings_c,settlement_status,pending/confirmed/failed lifecycle; settled on broker fill webhook,server/index.cjs settlement endpoints; SettlementBadge.jsx,Ops,Manual QA on fill webhook,2026-05-24,Pending = avg_fill null OR settlement_status pending
Settlement & Operations,Mock-mode toggle,Mock-Mode module,(env flag),MOCK_MODE,Skips real Stitch/Paystack; returns deterministic responses for testing,api/mock-mode/index.js,Engineering,Used in QA only,2026-05-24,Never enable in production
Misc - Version & Health,Version endpoint,Diagnostics module,(none),(build hash),Returns git SHA + deploy timestamp,api/version.js,Engineering,Health-check probe,2026-05-24,Used by mobile build to detect stale clients
Misc - Version & Health,Diagnostic endpoint,Diagnostics module,(synthetic checks),(varies),Smoke-tests DB connection; auth; key services,api/diagnose.js,Engineering,On-call uses on incidents,2026-05-24,Restricted via header secret
